,index,thinker_1,thinker_2,link
126,13449,J. D. Salinger,Richard Yate,1
127,5600,Robert W. Chambers,Robert Anton Wilson,1
128,21747,Baruch Spinoza,Lucretius,0
129,934,Margaret Laurence,Tor Bergeron,0
130,9456,William S. Burroughs,E. Nesbit,0
131,2807,Robert G. Ingersoll,Ezra Koenig,0
132,683,Herbert Marcuse,Heraclitus,0
133,12076,Dame Edna Everage,Patricia Routledge,1
134,14051,Anselm of Canterbury    1,Naguib Mahfouz,0
135,25049,Gabriel García Márquez,H. G. Carrillo,1
136,16131,Woody Allen,Jim Norto,1
137,16144,Georg Wilhelm Friedrich Hegel,Mikhail Bakunin,1
138,26600,Simone de Beauvoir,Tim O'Brie,0
139,3885,Hafeez Hoorani,Abdus Salam,1
140,11405,William Sleator,Nick Antosca,1
141,2591,William Cobbett,G. K. Chesterton,1
142,17318,Nancy Garden,Julie Anne Peters,1
143,25775,Charles Grafton Page,Alphonse Mucha,0
144,16656,Posidonius,Herbert Spencer,0
145,17908,Edmund Husserl,Mao Zedong,0
146,2732,George Washington Harris,Flannery O'Connor,1
147,12494,Manny Farber,Jonathan Rosenbaum,1
148,16852,Friedrich Nietzsche,Lu Xun,1
149,24247,Ch'ien Mu,Yu Ying-shih,1
150,24251,Samuel Beckett,Francisco Santos,0
151,7975,Fred Hoyle,Jocelyn Bell Burnell,1
152,12061,Lucian,Jeff Gabel,0
153,17017,Jens Peter Jacobsen,J. T. Eberhard,0
154,6233,Judd Apatow,Seth Rogen,1
155,7710,Sherwood Anderson,H. L. Mencken,0
156,4093,Emilio Salgari,Folco Quilici,1
157,6266,Jay Roach,Dana Fox,1
158,10855,Alhazen,Otto Neurath,0
159,10080,Sigmund Freud,Jean-Paul Sartre,1
160,25538,F. Scott Fitzgerald,William Nack,1
161,22683,Plato,T. K. Seung,1
162,16872,John Colet,Clark L. Hull,0
163,11645,Anselm of Canterbury    1,Marcel Deprez,0
164,27313,William S. Burroughs,Saul Bellow,0
165,4823,Epictetus,Alan Turing,0
166,1576,Samuel Richardson,David Anhaght,0
167,7343,Gilles Deleuze,Lewis Call,1
168,14146,Rita Angus,George Baloghy,1
169,16773,David Smith,Peter Hide,1
170,6510,Lenny Bruce,Hao Wang,0
171,21735,Robert Browning,Billy Crystal,0
172,25904,Walter Benjamin,Ale Debeljak,1
173,9749,Franz Brentano,Ruth Rendell,0
174,21080,Émile Gaboriau,Fortuné du Boisgobey,1
175,1528,F. H. Bradley,Petronius,0
176,8655,Theodore Sturgeon,Ashfaq Hussain,0
177,16214,Adalbert Stifter,Samuel Wendell Williston,0
178,27858,Joseph Butler    1,Ronald Verlin Cassill,0
179,1486,F. Scott Fitzgerald,Kermit Moyer,1
180,20966,Alan Turing,Ned Block,1
181,21758,Plato,Robert Flyn,0
182,4249,Augustine of Hippo,Nicolas Malebranche,1
183,29007,Georg Wilhelm Friedrich Hegel,Simon Critchley,1
184,19268,Peter Paul Rubens,Antoine Watteau,1
185,4371,Otto Weininger,Boleslaw Lesmian,0
186,16580,Henry Nelson Wieman,Loyal Rue,1
187,12293,William March,Anna Chromý,0
188,12202,Irwin Corey,Mort Sahl,1
189,16693,Charles Alston,Ernest Thoen,0
190,12231,Lisa Macuja-Elizalde,Jennifer Olayvar,1
191,8812,André Gide,Cleon Skousen,0
192,12330,Ritwik Ghatak,Subimal Mishra,1
193,12278,Richard Pryor,Adam Asnyk,0
194,22403,Arthur Schopenhauer,Louis-Ferdinand Céline,0
195,11455,Kyriakos Charalambides,Michele Mari,0
196,7494,Algernon Blackwood,Hannu Rajaniemi,0
197,4672,Evelyn Underhill,Joshua Ferris,0
198,1535,Max Stirner,Bob Black,1
199,28007,Franz Unger,Slim Dusty,0
200,13792,Robert B. Parker,Georges Simenon,0
201,18793,Georg Cantor,Alain Badiou,1
202,7158,Charles Baudelaire,Màrius Torres,1
203,9277,Ovid,Marie de France,1
204,26705,Dino Buzzati,Daniel Handler,1
205,10891,Günter Grass,Graham Swift,1
206,4268,Paul Feyerabend,Imre Lakatos,1
207,19486,Georg Wilhelm Friedrich Hegel,Robert Brandom,1
208,7596,L. Frank Baum,Elizabeth Gilbert,1
209,1012,William S. Burroughs,Suzanne Briet,0
210,9642,Robert Louis Stevenson,Ignacio Padilla,1
211,5614,Niccolò Machiavelli,Celine Dion,0
212,7043,Ludwig Wittgenstein,Peter G. Ossorio,1
213,7650,Plato,Lorenzo Peña,1
214,27816,Emerich de Vattel,Nikolaus Pevsner,0
215,20235,Fernando Pessoa,Paul D. MacLean,0
216,7657,Jim Thompson,Norman Partridge,1
217,18110,Ernst Mach,Robert Musil,1
218,3002,G. K. Chesterton,Howard Stern,0
219,10238,Robert McCloskey,Marc Simont,1
220,20877,Mark Tobey,Charles Ritcheson,0
221,8738,Theodor W. Adorno,Walter Benjamin,1
222,4844,Charlie Chaplin,George Bacovia,0
223,9420,Lily Tomlin,Linda Montano,1
224,22665,Simone de Beauvoir,Bernard Ogilvie Dodge,0
225,13325,Jack Vance,Álvares de Azevedo,0
226,5028,Lloyd Shapley,Jon Folkman,1
227,5017,Edmund Husserl,Leszek Kolakowski,1
228,22054,H. G. Wells,H. G. Wells,0
229,22787,Edwin Morga,Susan Elizabeth Phillips,0
230,4187,Joseph Ginat,Raymond Smullyan,0
231,2683,David Lynch,Iimani David,1
232,6335,H. P. Lovecraft,David Conyers,1
233,19281,Rainer Maria Rilke,Jonathan Franzen,1
234,8240,Peter van de Kamp,Wulff-Dieter Heintz,1
235,15693,Ovid,Dante Alighieri,1
236,7294,Nikolai Menshutkin,Sergei Winogradsky,1
237,7354,Rodney Dangerfield,Conan O'Brien,1
238,12490,William Godwin,Percy Bysshe Shelley,1
239,18038,Karel Capek,Vladimir Colin,1
240,17813,David Hume,David Lewis,1
241,17984,W. W. Jacobs,Jean-Baptiste Dumas,0
242,27669,Julian Coolidge,Arshak Fetvadjian,0
243,3197,Richard Pryor,Maija DiGiorgio,1
244,16244,C. S. Lewis,Daniel Handler,1
245,5196,Abbie Hoffman,Julian Rotter,0
246,27564,George Carlin,Greg Fitzsimmons,1
247,10223,Franz Unger,Truman Capote,0
248,29024,Emerich de Vattel,Loren Bouchard,0
249,24748,Raoul Schrott,Stan Brakhage,0
250,10123,Dashiell Hammett,William Gibson,1
251,28706,Betty Friedan,Joan Kennedy Taylor,1
252,23426,Wallace John Eckert,Llewellyn Thomas,1
253,24731,Vissarion Belinsky,Ivan Turgenev,1
254,19829,Louis Agassiz,Raphael Pumpelly,1
255,17272,Jonathan Swift,Charles Darwin,0
256,6563,Friedrich Heinrich Jacobi,Ralf Dahrendorf  1,0
257,10486,John Donne,William Bennett,0
258,13478,Jean-Baptiste-Camille Corot,Pierre Emmanuel Damoye,1
259,2071,Dante Alighieri,John Milton,1
260,13566,Leconte de Lisle,Adam Asnyk,1
261,20306,Franz Marc,Geoffrey Burnand,1
262,5389,Kyriakos Charalambides,Edward Abbey,0
263,10341,Pythagoras,Gus Van Sant,0
264,7988,Antonio Gramsci,Samik Bandyopadhyay,1
265,15892,Lucian,LaVyrle Spencer,0
266,11582,Monty Python,Lee and Herring,1
267,186,Hunter S. Thompson,Matt Taibbi,1
268,9001,Juvenal,Martial,1
269,8497,William Blake,Victor Gustav Bloed,0
270,2606,Jack Williamson,Rita Mae Brown,0
271,23232,Gabriel García Márquez,Francis Crick,0
272,13436,Joan Mitchell,Betsy Eby,1
273,11715,Max Stirner,Friedrich Engels,1
274,24995,Paul Ricur,Hugh MacLennan,0
275,6521,Rafael Barrett,Álvaro de Campos,0
276,2882,Alexandre Dumas,Arturo Pérez-Reverte,1
277,18647,Paulo Freire,Shirley R. Steinberg,1
278,4176,Martin Gardner,Giorgos Seferis,0
279,21073,Charles Étienne Brasseur de Bourbourg,Augustus Le Plongeon,1
280,7792,Aeschylus,Grigol Robakidze,1
281,390,Michael Moorcock,Mark Teppo,1
282,11495,Josiah Warren,Eugen Kumicic,0
283,19228,Gustave Flaubert,Nicoletta Ceccoli,0
284,8138,Gaston Bachelard,Peter Sloterdijk,1
285,10851,Matthew Reilly,Jeremy Robinson,1
286,12914,Doris Lessing,Ellen Hopkins,0
287,27888,Colin Wilson,John Anderson,0
288,6135,Daphne du Maurier,Lucretius,0
289,1165,Wilhelm Dilthey,Johannes Itten,0
290,20176,Georg Wilhelm Friedrich Hegel,Wilhelm Dilthey,1
291,15274,René Descartes,Christiaan Huygens,1
292,14561,Leconte de Lisle,Robert Klein,0
293,24684,Mikhail Bakunin,Takis Fotopoulos,1
294,6225,Samuel Beckett,John Barth,1
295,25833,James Baldwin,Clarissa Pinkola Estés,1
296,3481,Honoré de Balzac,Binet-Valmer,1
297,22851,Epictetus,Samuel Alito,0
298,18984,Michael Davi,Hugh MacDiarmid,0
299,24375,Robert Browning,George Washington Harris,0
300,4468,Jean Dubuffet,Jean-Michel Basquiat,1
301,4075,Joseph de Maistre,J. C. Leyendecker,0
302,28010,Bram Stoker,Larry Heinemann,0
303,21387,Leo Strauss,Dennis Lee,0
304,18601,Philip K. Dick,Slavoj iek,1
305,14235,Jack Vance,Michael Moorcock,1
306,18359,William F. Buckley Jr.,P. J. O'Rourke,1
307,28327,African Spir,Huston Smith,0
308,22406,John Fante,Jack Kerouac,1
309,3117,Richard Evans Schultes,Ion Minulescu,0
310,22997,Emily Brontë,Maurice Halbwachs,0
311,5901,Pierre-Joseph Proudhon,Albrecht Dürer,0
312,22020,William F. Buckley Jr.,Steven Whyte,0
313,3217,Montesquieu,Georg Wilhelm Friedrich Hegel,1
314,7940,Vladimir Nabokov,Liesel Litzenburger,1
315,3603,Mark Van Doren,Vic Chesnutt,0
316,26670,Heraclitus,Eve Bunting,0
317,12586,Harlan Coben,Thomas Dewing,0
318,26659,Joseph Ginat,Yitzhak Rabin,1
319,8471,Robert Browning,Billy Crystal,0
320,24399,David Markson,Donnie Yen,0
321,7414,Aristotle,René de Girardin,0
322,539,Franciak Bahuevic,Maksim Bahdanovic,1
323,26693,Carlos Pezoa Véliz,Walter A. Shewhart,0
324,1842,Herbert Spencer,Henri Bergson,1
325,9272,Robert W. Chambers,Fereydoon Motamed,0
326,1919,Robinson Jeffers,Severo Ochoa,0
327,29090,Richard Francis Burton,Clark Ashton Smith,1
328,10759,John D. MacDonald,Franz Bauer,0
329,13673,Gottfried Leibniz,Immanuel Kant,1
330,27737,Mark Ryden,Nicoletta Ceccoli,1
331,11710,Gustave Flaubert,Philip Roth,1
332,17551,André Gide,Salvatore Quasimodo,0
333,1574,Steve Vai,Nicholas Tse,1
334,23983,Paul Merton,Daniel Kitson,1
335,5218,Henri Bergson,Kuki Shuzo,1
336,21447,Ennio Flaiano,Richard L. Tierney,0
337,15311,Jack Vance,Zechariah Chafee,0
338,27023,Arthur Schopenhauer,Hans Vaihinger,1
339,12200,Don DeLillo,Jonathan Franzen,1
340,5380,Johann Wolfgang von Goethe,Fred Kabotie,0
341,19655,Alexandre Dumas,Mark Poster,0
342,21226,Robert A. Heinlein,John Varley,1
343,25051,Ernest Hemingway,Charles Bukowski,1
344,26081,Jack London,James Joseph Sylvester,0
345,13547,Sextus Empiricus,Anne Hampson,0
346,26372,Russell Banks,Mitch Berman,1
347,7919,William F. Buckley Jr.,P. J. O'Rourke,1
348,24516,Robert W. Chambers,Elaine May,0
349,15396,Friedrich Albert Lange,Alexander Boghossian,0
350,24608,John Donne,Theodor W. Adorno,0
351,22526,Alexandre Dumas,Steven Brust,1
352,16528,Alexander Lernet-Holenia,G. K. Chesterton,0
353,3147,Joaquim Maria Machado de Assis,Graciliano Ramos,1
354,7568,Karl Marx,George Bernard Shaw,1
355,3785,William Ross Ashby,Richard Montague,0
356,24961,Lord Byron,Pascal Engel,0
357,22139,Robert Frost,Louis O. Coxe,1
358,28676,H. Rider Haggard,Henry Miller,1
359,22014,Grigol Robakidze,Diane Duane,0
360,24545,Jack Williamson,Nagata Mikihiko,0
361,25151,Friedrich Engels,Ferdinand Minding,0
362,11144,George Bernard Shaw,Johannes Nikolaus Tetens,0
363,13379,Robert Frost,Carter Revard,1
364,27675,George Gurdjieff,Edmund Burke,0
365,20124,Allan Bloom,José Clemente Orozco,0
366,11096,Lord Byron,Ivan Turgenev,1
367,18167,John Updike,Monty Python,0
368,22289,Nikola Tesla,Gano Dunn,1
369,20347,Poul Anderson,Jerry Pournelle,1
370,6746,Gabriel García Márquez,Allison Davis,0
371,19926,Sigmund Freud,Aubrey Beardsley,0
372,21509,Jack London,Robert E. Howard,1
373,26352,Charles Dickens,George Orwell,1
374,24630,Jack Paar,Saadi,0
375,21192,Liviu Rebreanu,Muhamad Salih Dilan,0
376,23137,Martin Gardner,Livy,0
377,19977,Leo Tolstoy,Camil Muresanu,1
378,6845,Lev Shestov,Georges Bataille,1
379,4214,Robert Burns,Bob Dylan,1
380,5727,Georg Brandes,August Strindberg,1
381,8099,Gilles Deleuze,Miko uvakovic,1
382,11285,George Carlin,Denis Donohue,1
383,3941,Bertrand Russell,Tom Hodgkinson,1
384,2305,Theodore Sturgeon,Edwin Arlington Robinson,0
385,8567,Eric Berne,Alan Lee,0
386,267,Arthur Rimbaud,George Bacovia,1
387,19525,George Berkeley,David Eddings,0
388,4220,Johnny Carson,David Letterman,1
389,14856,Walter Scott,C. V. Raman Pillai,1
390,22759,Immanuel Kant,Martin Gardner,1
391,13272,F. H. Bradley,Michael Tolkin,0
392,9646,Niccolò Machiavelli,Julian Barnes,0
393,13713,Arthur Ganson,Brose Partington,1
394,27625,Anton Chekhov,Kazimierz Twardowski,0
395,10432,Robinson Jeffers,Jack Oliver,0
396,16873,Edward O. Thorp,Les Golden,1
397,3090,Edgar Allan Poe,Harlan Ellison,1
398,1647,Friedrich Nietzsche,Sigmund Freud,1
399,22920,Robert Benchley,Woody Allen,1
400,15700,Arthur Machen,Mark Samuels,1
401,6462,Paul Gauguin,Russell Payne,0
402,12624,Jackson Pollock,Morris Louis,1
403,8659,France Preeren,Ivan Cankar,1
404,27288,Christian Friedrich Hebbel,Friedrich de la Motte Fouqué,1
405,27506,Edmund Husserl,Abraham Kuyper,0
406,18332,D. H. Lawrence,A. S. Byatt,1
407,26730,Baltasar Gracián,M. C. Escher,0
408,2871,Proclus,Stephen Etnier,0
409,24198,Ivan Turgenev,Theodor Storm,1
410,10381,Groucho Marx,Brendon Small,1
411,13670,Lloyd Alexander,Richard Carrier,0
412,27653,Fyodor Dostoyevsky,Robert Ston,1
413,23745,Oscar Wilde,Jorge Luis Borges,1
414,14935,Robinson Jeffers,Paul Goodma,0
415,27521,Victor Hugo,John Koethe,0
416,27295,Stendhal,Mihail Sebastian,1
417,5146,Jean-Jacques Rousseau,Tomás Antônio Gonzaga,1
418,5100,Robert Louis Stevenson,Lloyd Osbourne,1
419,20206,Dante Alighieri,Milton Berle,0
420,1214,George MacDonald,William P. Young,1
421,19949,Jiddu Krishnamurti,David Bohm,1
422,10625,Rainer Maria Rilke,Bruno Schulz,1
423,17992,Jack Paar,Abel de Pujol,0
424,4078,R. D. Blackmore,F. Scott Fitzgerald,1
425,6488,Meister Eckhart,The Mighty Boosh,0
426,14039,Samuel Richardson,John Tukey,0
427,13184,Friedrich Wilhelm Joseph Schelling,Siegfried Sassoon,0
428,3172,Emanuel Swedenborg,Nikolai Leskov,0
429,9966,Albert Camus,Richard Carrier,0
430,10935,Charles Grafton Page,Lenny Clarke,0
431,24686,Carl Jung,Vladimir Bartol,1
432,4031,Evelyn Underhill,Pardis Parker,0
433,7622,Robert W. Chambers,A. D. Gordon,0
434,7742,Honoré de Balzac,Mario Puzo,1
435,26230,G. K. Chesterton,Carolyn Kreiter-Foronda,0
436,26409,Liviu Rebreanu,Susanna Moodie,0
437,16556,Otto Weininger,Henry Vollam Morton,0
438,1396,Thomas Henry Huxley,John Wooley,0
439,24215,Baruch Spinoza,Samuel Taylor Coleridge,1
440,20367,Nick Broomfield,Jon Ronson,1
441,18912,Heraclitus,Christopher Hills,0
442,25227,Bram Stoker,Jack Ketchum,1
443,12003,Meister Eckhart,Alexius Meinong,0
444,7447,Augustine of Hippo,Boethius,1
445,775,Samuel Richardson,Kirk Douglas,0
446,23986,Ivan Cankar,Preihov Voranc,1
447,2180,Naoya Shiga,Nagayo Yoshiro,1
448,26706,Robert G. Ingersoll,Louise Fitzhugh,0
449,11894,Charles Darwin,Liberty Hyde Bailey,1
450,17677,William Godwin,Robert Jordan,0
451,7284,Edward Said,R. Radhakrishnan,1
452,1564,Virgil,Yukio Mishima,0
453,28724,Nikolaas Tinbergen,Hans Baruch,1
454,16726,Terence McKenna,Stuart Dybek,0
455,20017,John Dos Passos,Edwin Morga,0
456,7595,William Blake,Tracy Chevalier,1
457,21727,Robert A. Heinlein,Charles Stross,1
458,13128,Nicolas Malebranche,Shirley Jackson,0
459,542,Giovanni Gentile,Rita Rudner,0
460,25128,Mort Sahl,Glen Cook,0
461,20407,T. Coraghessan Boyle,G. Xavier Robillard,1
462,21281,Arthur Schopenhauer,Terry Dowling,0
463,17321,Rod Serling,Julia Robinson,0
464,25156,Maya Deren,Marc Maron,0
465,21703,Michael Davi,Jason Huff,0
466,18019,Dick Gregory,Louis Armstrong,0
467,26130,Emerich de Vattel,Loren Bouchard,0
468,21352,African Spir,Art Carney,0
469,27946,René Guénon,Roger Woolger,1
470,9122,F. H. Bradley,R. G. Collingwood,1
471,25802,Louis Adamic,Preihov Voranc,1
472,4125,Shirley Jackson,Clive James,0
473,19360,John Donne,Sugar Sammy,0
474,2381,Robert Aickman,Antoine Furetière,0
475,18083,Robert B. Parker,Mary Ann Kilner,0
476,7407,Arthur Rimbaud,Jeremy Robinson,0
477,16165,Henri Bergson,Pat Buchanan,0
478,9367,Peter Kropotkin,Alexander Berkman,1
479,27078,Ajai R. Singh,Shakuntala Singh,1
480,21516,Ennio Flaiano,Bayazid Bastami,0
481,14747,Montesquieu,Larry Niven,0
482,1316,Richard Harding Davis,J. J. Abrams,0
483,13105,Maurice Ewing,Frank Press,1
484,11658,Marcel Proust,Gilles Deleuze,1
485,6822,Roger Penrose,Michael Swanwick,0
486,10033,Robertson Davies,John Irving,1
487,13349,Georges Sorel,Paul Moone,0
488,7005,Patrick Kavanagh,Paul Durcan,1
489,20308,Jakob Kolletschka,Ignaz Semmelweis,1
490,9200,George Berkeley,John Stuart Mill,1
491,23585,Jack Smit,Cas Wouters,0
492,17972,Desiderius Erasmus,Robert W. Chambers,0
493,16719,Victor Hugo,Jin Yuelin,0
494,12347,Paul Merton,Ricky Gervais,1
495,8882,Willard Van Orman Quine,David Lewi,1
496,11551,Petrarch,Tomás Antônio Gonzaga,1
497,23735,Samuel Beckett,Harold Pinter,1
498,28299,Jack Kerouac,Soti Triantafyllou,1
499,15816,Niccolò Machiavelli,Henrik Langeland,0
500,26297,Paul Cézanne,Molly Lamb Bobak,1
501,5213,Søren Kierkegaard,Marie de France,0
502,14136,H. P. Lovecraft,John Carpenter,1
503,16164,William Gibson,Lewis Call,1
504,23267,Kurt Vonnegut,Max Miller,0
505,24304,Alfred Romer,Sherwood Washburn,1
506,28590,Alexandre Dumas,Henryk Sienkiewicz,1
507,6944,Robert B. Parker,Charlie Chaplin,0
508,1219,Paul Gauguin,Winston Churchill,0
509,6723,Montesquieu,Hermann von Helmholtz,0
510,8207,Eric Berne,William Eggleston,0
511,23776,Philip K. Dick,Mark Teppo,1
512,26727,Robert W. Chambers,A. D. Gordon,0
513,24014,Grant Morrison,Mark Teppo,1
514,362,Rosa Luxemburg,Raya Dunayevskaya,1
515,789,Pauline Kael,Tom Shales,1
516,19178,David Smith,Robert Murra,1
517,17639,Charles Darwin,David Blitz,1
518,19648,Sextus Empiricus,Brian Azzarello,0
519,17545,Henri Victor Regnault,William Thomson 1st Baron Kelvin,1
520,27724,Lord Byron,Charlotte Brontë,1
521,8806,Jack Kerouac,Tom Waits,1
522,11488,Robert B. Parker,Mariam Petrosyan,0
523,25043,Günter Grass,Isidore Geoffroy Saint-Hilaire,0
524,22073,Flannery O'Connor,Garth Von Buchholz,1
525,16886,Pythagoras,Chevy Chase,0
526,10410,Daphne du Maurier,Vladimir Obruchev,0
527,13438,Joel Chandler Harris,Arnold J. Toynbee,0
528,3398,Kurt Vonnegut,Edward Hopper,0
529,19137,Giambattista Vico,David Ben-Gurion,0
530,27215,John Rubens Smith,Brian J. Mistler,0
531,9073,Joseph Butler    1,Antero de Quental,0
532,4822,George Quaintance,Tom of Finland,1
533,19850,Vincent van Gogh,Joan Mitchell,1
534,6781,Donald Miller,William P. Young,1
535,23234,Theodor W. Adorno,John Zerzan,1
536,28130,Socrates,Gonçalves de Magalhães Viscount of Araguaia,0
537,16829,Gaëtan Gatian de Clérambault,Jacques Lacan,1
538,23861,Charles Grafton Page,James K. Baxter,0
539,4619,Isaiah Berlin,Michael Walzer,1
540,17427,Franz Unger,Daniel Arsham,0
541,6653,Edgar Allan Poe,Arthur Conan Doyle,1
542,24564,Parmenides,Socrates,1
543,7293,H. P. Lovecraft,Boethius,0
544,21627,Ahmed Faraz,Ashfaq Hussain,1
545,25348,William Faulkner,Jeff Andrus,1
546,11075,Amy Hempel,Rick Moody,1
547,22129,Brian O'Nolan,Yoshii Isamu,0
548,14874,August Strindberg,Robert M. Pirsig,0
549,25582,Maurice Merleau-Ponty,Manu V. Devadevan,1
550,25515,Fritz Leiber,Jules Renard,0
551,9696,Carl Ludwig,Adolf Eugen Fick,1
